,Name,Address,Price,Rating,Amenities
44,OYO 22907 Hotel Holiday,"Near Rani Gunj X road, Secundrabad, Hyderabad",965.0,4.0 ,"Reception, Free Wifi, Power backup"
45,OYO 67479 Alpine Glow Zenith,"Near Malani Colony, Bowenpally, Hyderabad",984.0,4.4 ,"Reception, Fan, Free Wifi"
46,OYO 47221 Stay Happy,"Near Sister Nivedita School, Ameerpet, Hyderabad",986.0,4.0 ,"Reception, Fan, Free Wifi"
47,OYO 49253 Raja Residency,"Near Raja Deluxe Complex, Musheerabad, Hyderabad",987.0,3.7 ,"Private Entrance, Reception, Fan"
48,OYO 35487 Hotel Meena Grand,"Near Nampally Metro Station, Hyderabad",987.0,4.2 ,"Center Table, Reception, Fan"
49,OYO 71611 Krupa Service Apartments ,"Near Puri Jagannadh Temple, Shaikpet Mandal, Hyderabad",1005.0,3.5 ,"Parking Facility, Reception, Free Wifi"
50,OYO 19365 Hotel Sabharwal,"Near Hanuman Tekdi, Abids, Hyderabad",1012.0,4.2 ,"Elevator, Center Table, Free Wifi"
51,OYO 17315 Opal Residency,"Near Mahesh Nagar Colony, Abids, Hyderabad",1014.0,4.2 ,"Reception, Free Wifi, Power backup"
52,OYO 14194 Hotel Deccan Lodging and Boarding,"Near Gokul Theater, Erragadda, Hyderabad",1014.0,3.6 ,"Fan, Free Wifi, Power backup"
53,OYO 62615 Hotel White House,"Nampally, Hyderabad",1014.0,3.9 ,"Reception, 24/7 Checkin, Dress Hanger"
54,OYO 71244 Hotel Saba Service Apartments,"Near Yousuf Baba Dargah, Nampally mandal, Hyderabad",1014.0,3.8 ,"Reception, Free Wifi, Fan"
55,OYO 40870 Hotel Sai Seven Hills Residency,"Delta Plaza, Ameerpet Rd, Hyderabad",1014.0,4.0 ,"Center Table, Reception, Free Wifi"
56,OYO 26650 R Square,"Near LB Nagar Metro Station, Hyderabad",1014.0,3.8 ,"Reception, Free Wifi, Intercom"
57,OYO 2006 Alpine Glow Sunrise,"Near RBI Quarters, Begumpet, Hyderabad",1014.0,4.3 ,"Parking Facility, Fan, Free Wifi"
58,OYO Home 75896 Pleasant Stay ,"erragaddaagar ., Hyderabad",1014.0,4.4 ,"Parking Facility, Free Wifi, Hot Water"
59,OYO 30665  Sruan Inn,"Near Vishnu Theatre, Abhyudaya Nagar, Hyderabad",1014.0,4.8 ,"Parking Facility, Reception, Free Wifi"
60,OYO 15140 Hotel Priya Residency,"Near Raniganj, MG Road, Hyderabad",1014.0,3.7 ,"Fan, Free Wifi, Power backup"
61,OYO 2840 Kanha Grand,"Near Nilofer Hospital, lakdikapul, Hyderabad",1014.0,4.3 ,"Elevator, Study Table with Lamp, Free Wifi"
62,OYO 68404 Sa Thirumala Residency,"Near VRK Silks, Himayatnagar, Hyderabad",1014.0,3.6 ,"Center Table, Reception, Fan"
63,OYO 64781 Bahira Service Apartments,"Near Airport Road, Attapur, Hyderabad",1014.0,4.1 ,"Parking Facility, Reception, Fan"
64,Capital O 44354 Jubilee Banjara Suites,"Near American Hospital, Banjarahills, Hyderabad",1216.0,4.0 ,"Center Table, Parking Facility, Center Table"
65,OYO 10139 Hotel Palak Residency,"Near Mosapet Flyover, Erragadda, Hyderabad",1216.0,3.7 ,"Elevator, Free Wifi, Geyser"
66,OYO 42129 Hotel Swiss Legrand,"Near Nanking Cinese Restaurent, Wellington Rd,Hyderabad",1216.0,3.0 ,"Reception, Fan, Free Wifi"
67,OYO 17168 Hz Lodge,"Laad Bazaar Rd, Char Minar, Hyderabad",1216.0,4.9 ,"Elevator, Free Wifi, Power backup"
68,OYO 10272 Hotel Ruma,"Near City Convention Centre, Nampally, Hyderabad",1216.0,4.0 ,"Parking Facility, Elevator, Free Wifi"
69,Capital O 23543 Hotel Vaishnavi,"Near Regional Passport Office, Hyderabad",1216.0,4.2 ,"Parking Facility, Reception, Free Wifi"
70,OYO 24204 Nav Bharath Residency,"Near Central Gurudwara Saheb, Gowliguda, Hyderabad",1216.0,4.5 ,"Reception, Fan, Free Wifi"
71,OYO 75379 Raja Ram Hotel,"Balanagar, Hyderabad",1216.0,4.3 ,"Reception, Fan, Free Wifi"
72,CAPITAL O75502 Hotel Asian International ,"Opposite Pillar No 1274, Hyderabad",1216.0,3.9 ,"Reception, Free Wifi, 24/7 Checkin"
73,OYO 38397 Kucheria Vatika,"Near Jawahar Nagar Colony, Ramgopalpet, Hyderabad",1216.0,4.1 ,"Parking Facility, Center Table, Reception"
74,OYO 30955 Alpine Glow Pinnacle,"Near Veg Market, Bowenpally, Hyderabad",1216.0,4.0 ,"Center Table, Reception, Power backup"
75,OYO 15928 Hotel Midtown,"Near , Begumpet,Hyderabad, Hyderabad",1216.0,4.0 ,"Center Table, Parking Facility, Fan"
76,OYO 45408 Hotel Ambassador,"Near Navodaya Hospital, SD Road, Hyderabad",1216.0,3.9 ,"Center Table, Reception, Power backup"
77,OYO 11079 Hotel Prestige,"Near Sun Shine Hospital, Paradise Road, Hyderabad",1216.0,4.4 ,"Parking Facility, Elevator, Free Wifi"
78,Capital O 46248 Marjan International,"Near ICICI Bank ATM, Chapel Rd, Hyderabad",1216.0,3.3 ,"Parking Facility, Reception, Fan"
79,OYO 11376 Golden Park,"Near Satyam Theater Road, Ram Mirra Towers, Hyderabad",1216.0,3.8 ,"Parking Facility, Fan, Intercom"
80,OYO 16428 Hotel Comfort Inn,"Near Mahatma Gandhi Road, Rani Ganj, Hyderabad",1216.0,4.3 ,"Fan, Free Wifi, Power backup"
81,OYO 13550 Hotel Pushpa Grand,"Chintalkunta Vansthalipuram, Hyderabad",1216.0,3.2 ,"Elevator, Parking Facility, Geyser"
82,OYO Townhouse 164 ESI Hospital,"Near ESI Metro Station, Sanath Nagar, Hyderabad",1216.0,4.3 ,"Private Entrance, Reception, Free Wifi"
83,CAPITAL O75155 Hotel Asian Inn,"Greater Hyderabad Municipal Corporation Central Zone, Hyderabad",1220.0,4.0 ,"Private Entrance, Reception, Free Wifi"
84,OYO 9796 Hotel Alekhya Residency,"Secretariat Road, Hyderabad",1221.0,4.2 ,"Free Wifi, CCTV Cameras, Power backup"
85,OYO Townhouse 359 Begumpet,"Vinn Hospital, Begumpet, Hyderabad",1249.0,4.4 ,"Parking Facility, Reception, Toiletries available"
86,OYO 795 Saranggi Boutique Hotel,"Near ICICI Bank, Sindhi Colony, Hyderabad",1261.0,4.3 ,"Study Table with Lamp, Free Wifi, Power backup"
