,Name,Address,Price,Rating,Amenities
40,SPOT ON 43890 Kaveri Lodge,"Near Kamineni Hospital, L.B.Nagar, Hyderabad",963.0,4.2 ,"Parking Facility, Reception, Daily Housekeeping"
41,OYO 35467 Shiridi Residency,"Near Chermas, Abids, Hyderabad",965.0,4.5 ,"Reception, Fan, Intercom"
42,OYO 17315 Opal Residency,"Near Mahesh Nagar Colony, Abids, Hyderabad",965.0,4.1 ,"Reception, Free Wifi, Power backup"
43,Silverkey Executive Stays 22453 Himayat Nagar Circle,"Near Narayanguda Road, Vittalwadi, Hyderabad",965.0,4.2 ,"Private Entrance, Hair Dryer, Reception"
44,OYO Flagship 75583 Thatipally Mansion,"Kothapet Road, Mohan Nagar, Hyderabad",965.0,4.4 ,"Reception, Free Wifi, Power backup"
45,OYO 22907 Hotel Holiday,"Near Rani Gunj X road, Secundrabad, Hyderabad",965.0,4.2 ,"Reception, Free Wifi, Power backup"
46,OYO 30744 The  Gate,"Near Begumpet Railway Station, Hyderabad",965.0,4.6 ,"Reception, Power backup, Fan"
47,OYO 73783 Hotel Sai Pariwar,"500027, Hyderabad",976.0,3.8 ,"Private Entrance, Reception, Free Wifi"
48,OYO 70733 Hotel Regal,"Near Jubliee Bus Stand, Ramgopalpet, Hyderabad",981.0,4.4 ,"Private Entrance, Reception, Fan"
49,OYO 9936 Elite Inn,"Near Chitta Reddy colony, Tadbund, Hyderabad",983.0,4.3 ,"Elevator, Free Wifi, Geyser"
50,OYO 11428 Hotel Krishna's Residency,"Near MMTS Station, Hyderabad",987.0,3.7 ,"Elevator, Parking Facility, Free Wifi"
51,OYO 35487 Hotel Meena Grand,"Near Nampally Metro Station, Hyderabad",987.0,4.3 ,"Center Table, Reception, Fan"
52,OYO 30665  Sruan Inn,"Near Vishnu Theatre, Abhyudaya Nagar, Hyderabad",987.0,4.8 ,"Parking Facility, Reception, Free Wifi"
53,OYO 64781 Bahira Service Apartments,"Near Airport Road, Attapur, Hyderabad",998.0,4.2 ,"Parking Facility, Reception, Fan"
54,OYO 72484 Hill Street ,"Near TV9 Office, Banjara Hills, Hyderabad",998.0,NEW,"Center Table, Fan, AC"
55,OYO 2840 Kanha Grand,"Near Nilofer Hospital, lakdikapul, Hyderabad",1014.0,4.4 ,"Elevator, Study Table with Lamp, Free Wifi"
56,OYO 14194 Hotel Deccan Lodging and Boarding,"Near Gokul Theater, Erragadda, Hyderabad",1014.0,3.6 ,"Fan, Free Wifi, Power backup"
57,OYO 10139 Hotel Palak Residency,"Near Mosapet Flyover, Erragadda, Hyderabad",1014.0,3.8 ,"Elevator, Free Wifi, Geyser"
58,OYO 18926 Tourist Krishna Inn,"Near Barkatpura Rd, Kachiguda Station Rd,Hyderabad",1014.0,3.7 ,"Center Table, Parking Facility, Center Table"
59,OYO 2006 Alpine Glow Sunrise,"Near RBI Quarters, Begumpet, Hyderabad",1014.0,4.3 ,"Parking Facility, Fan, Free Wifi"
60,OYO 38397 Kucheria Vatika,"Near Jawahar Nagar Colony, Ramgopalpet, Hyderabad",1014.0,4.2 ,"Parking Facility, Center Table, Reception"
61,OYO 22085 Raj Banjara White House,"SV Nagar, Banjara Hills, Hyderabad",1014.0,3.1 ,"Reception, Free Wifi, Power backup"
62,OYO 24204 Nav Bharath Residency,"Near Central Gurudwara Saheb, Gowliguda, Hyderabad",1014.0,4.5 ,"Reception, Fan, Free Wifi"
63,OYO 15928 Hotel Midtown,"Near , Begumpet,Hyderabad, Hyderabad",1014.0,4.0 ,"Center Table, Parking Facility, Fan"
64,Capital O 23543 Hotel Vaishnavi,"Near Regional Passport Office, Hyderabad",1014.0,4.2 ,"Parking Facility, Reception, Free Wifi"
65,OYO 40870 Hotel Sai Seven Hills Residency,"Delta Plaza, Ameerpet Rd, Hyderabad",1014.0,3.9 ,"Center Table, Reception, Free Wifi"
66,OYO 9936 Elite Inn,"Near Chitta Reddy colony, Tadbund, Hyderabad",1014.0,4.3 ,"Elevator, Free Wifi, Geyser"
67,OYO 67445 Ht Guest House,"Near Agm Gastrology Hospital, Aeramanjil, Hyderabad",1014.0,4.3 ,"Fan, AC, Fan"
68,Collection O 46198 New Sree Krishna,"Near SR Nagar Metro, Sanjeeva Reddy Nagar, Hyderabad",1014.0,3.3 ,"Parking Facility, Private Entrance, Reception"
69,OYO 14669 Mayur's Residency,"Near Sri Krupa Market, Malakpet, Hyderabad",1014.0,4.2 ,"Fan, Free Wifi, Power backup"
70,OYO 19365 Hotel Sabharwal,"Near Hanuman Tekdi, Abids, Hyderabad",1014.0,4.0 ,"Elevator, Center Table, Free Wifi"
71,CAPITAL O75155 Hotel Asian Inn,"Greater Hyderabad Municipal Corporation Central Zone, Hyderabad",1014.0,3.9 ,"Private Entrance, Reception, Free Wifi"
72,OYO 75723 Raghava Residency,"Shaikpet mandal, Hyderabad",1216.0,NEW,"Parking Facility, Reception, Free Wifi"
73,OYO 71244 Hotel Saba Service Apartments,"Near Yousuf Baba Dargah, Nampally mandal, Hyderabad",1216.0,3.9 ,"Reception, Free Wifi, Fan"
74,OYO 63021 Hotel Hill 9,"Near Lotus Pond, Film Nagar, Hyderabad",1216.0,4.2 ,"Reception, Power backup, Security"
75,OYO 30955 Alpine Glow Pinnacle,"Near Veg Market, Bowenpally, Hyderabad",1216.0,4.0 ,"Center Table, Reception, Power backup"
76,OYO 74184 Hotel Meredian Comfort Inn,"Near Metro Station, Aghapura, Hyderabad",1216.0,3.2 ,"Parking Facility, Reception, Free Wifi"
77,OYO 17168 Hz Lodge,"Laad Bazaar Rd, Char Minar, Hyderabad",1216.0,4.9 ,"Elevator, Free Wifi, Power backup"
78,OYO 42129 Hotel Swiss Legrand,"Near Nanking Cinese Restaurent, Wellington Rd,Hyderabad",1216.0,3.3 ,"Reception, Fan, Free Wifi"
79,OYO 13550 Hotel Pushpa Grand,"Chintalkunta Vansthalipuram, Hyderabad",1216.0,3.1 ,"Elevator, Parking Facility, Geyser"
80,OYO 45408 Hotel Ambassador,"Near Navodaya Hospital, SD Road, Hyderabad",1216.0,3.9 ,"Center Table, Reception, Power backup"
81,OYO 40869 White Ridge ,"Near Sanjeevini Hospital, Kothapet road, Hyderabad",1216.0,4.4 ,"Reception, Fan, Daily Housekeeping"
82,OYO 16428 Hotel Comfort Inn,"Near Mahatma Gandhi Road, Rani Ganj, Hyderabad",1216.0,4.4 ,"Fan, Free Wifi, Power backup"
83,OYO 10272 Hotel Ruma,"Near City Convention Centre, Nampally, Hyderabad",1216.0,4.0 ,"Parking Facility, Elevator, Free Wifi"
84,OYO 15141 Townvilla Guest House,"Near Sister Nivedita School, Ameerpet, Hyderabad",1216.0,4.3 ,"Parking Facility, Free Wifi, Power backup"
85,OYO 41665 Hotel Grand Marvel Residency,"Near Yashoda Hospital Somajiguda, Hyderabad",1216.0,3.7 ,"Private Entrance, Reception, Free Wifi"
86,Capital O 71317 White Ridge,"Near Khazana Jewellery, Dilsukhnagar, Hyderabad",1216.0,4.6 ,"Center Table, Reception, Fan"
87,OYO 2635 Hotel Balaji Residency,"Near TVS Showroom, Himayatnagar, Hyderabad",1216.0,NEW,"Parking Facility, Study Table with Lamp, Free Wifi"
88,OYO 75687 Hotel Sun City,"Panjagutta, Hyderabad",1216.0,NEW,"Center Table, Center Table, Reception"
89,OYO 61506 Sai Residency,"Near SR Nagar Metro Station, Hyderabad",1216.0,3.8 ,"Reception, Fan, Free Wifi"
90,OYO 63371 R Square Stay,"Near LB Nagar Metro Station, Hyderabad",1219.0,3.8 ,"Parking Facility, Reception, Free Wifi"
91,Capital O 46248 Marjan International,"Near ICICI Bank ATM, Chapel Rd, Hyderabad",1221.0,NEW,"Parking Facility, Reception, Fan"
92,OYO 75379 Raja Ram Hotel,"Balanagar, Hyderabad",1221.0,4.3 ,"Reception, Fan, Free Wifi"
93,CAPITAL O75502 Hotel Asian International ,"Opposite Pillar No 1274, Hyderabad",1221.0,3.9 ,"Reception, Free Wifi, 24/7 Checkin"
94,OYO 15140 Hotel Priya Residency,"Near Raniganj, MG Road, Hyderabad",1221.0,3.8 ,"Fan, Free Wifi, Power backup"
95,OYO 9796 Hotel Alekhya Residency,"Secretariat Road, Hyderabad",1221.0,4.0 ,"Free Wifi, CCTV Cameras, Power backup"
96,OYO 71439 Rsquare Elite,"Elite Luxury Rooms Opp Hyundai Showroom  Nagole Road Lb nagar circle LB NAGAR , Hyderabad",1223.0,3.8 ,"Reception, Free Wifi, Power backup"
97,OYO 47221 Stay Happy,"Near Sister Nivedita School, Ameerpet, Hyderabad",1258.0,4.0 ,"Reception, Fan, Free Wifi"
98,OYO 71210 Jubilee Homes,"Near Annapurna Studios, Jubilee Hills, Hyderabad",1258.0,4.6 ,"Parking Facility, Reception, Fan"
99,Collection O 63872 Enchanting Spaces ,"Near Railway Officer Colony, Walker Town, Hyderabad",1265.0,4.6 ,"Parking Facility, Reception, Free Wifi"
100,Capital O 5072 Padmini Hotel,"Near S.D Road, Clocktower, Hyderabad",1265.0,4.0 ,"Elevator, Center Table, Free Wifi"
101,OYO 26650 R Square,"Near LB Nagar Metro Station, Hyderabad",1268.0,3.9 ,"Reception, Free Wifi, Intercom"
102,OYO 29928 Royal Emirates Banjara,"Near Meeras Design Studio, Punjagutta, Hyderabad",1270.0,4.2 ,"Parking Facility, Reception, Free Wifi"
103,OYO 41102 Hyderabad Elite,"Near Airport Road Pillar No.203, Rockwood Phase 1, Hyderabad",1294.0,3.8 ,"Private Entrance, Parking Facility, Reception"
104,OYO Home 62424 Royal Stay,"Near Mynteramall, Ashoke Vihar 2 Colony, Hyderabad",1300.0,4.5 ,"Parking Facility, Free Wifi, Power backup"
105,Capital O 1780 Hotel Belsons Taj Mahal,"Near MCH Swimming Pool, Hyderabad",1302.0,4.1 ,"Center Table, Fan, Power backup"
106,OYO 68235 R-residency,"Near Mangalam Handi Crafts, Hyderabad",1321.0,3.5 ,"Private Entrance, Reception, Fan"
107,Capital O 49135 Sri Simran Park Hotel,"Near Secunderabad Railway Station, Secunderabad, Hyderabad",1321.0,3.0 ,"Parking Facility, Free Wifi, Power backup"
108,OYO Townhouse 359 Begumpet,"Vinn Hospital, Begumpet, Hyderabad",1329.0,4.4 ,"Parking Facility, Reception, Toiletries available"
109,Collection O 42514 Banjara Hills,"Near Banjara Hills, Hyderabad",1335.0,4.6 ,"Parking Facility, Center Table, Reception"
110,OYO 9303 Celebrity Skyhy Rooms,"Chikoti Gardens, Begumpet, Hyderabad",1351.0,NEW,"Parking Facility, Center Table, Free Wifi"
111,Capital O 65104 Che Sigma Hotel,"Near Narayana High School, Chinthalkunta, Hyderabad",1369.0,4.4 ,"Parking Facility, Reception, Fan"
112,OYO 23323 Hotel Dove,"Near Manu Complex, Mehdipatnam Ring Road, Hyderabad",1374.0,4.2 ,"Parking Facility, Center Table, Reception"
113,OYO 14224 Happy Guest house,"Near Star Super Market, Banjara Hills, Hyderabad",1381.0,4.4 ,"Center Table, Parking Facility, Center Table"
114,OYO 62615 Hotel White House,"Nampally, Hyderabad",1385.0,3.9 ,"Reception, 24/7 Checkin, Dress Hanger"
115,OYO 9303 Celebrity Skyhy Rooms,"Chikoti Gardens, Begumpet, Hyderabad",1388.0,NEW,"Parking Facility, Center Table, Free Wifi"
116,OYO 9386 Hotel Mannys Plaza,"Near ICICI Bank, Begumpet, Hyderabad",1484.0,NEW,"AC, TV"
117,OYO 28637 Gokul Grand,"Near ShivBagh, Ameerpet, Hyderabad",1487.0,4.1 ,"Power backup, Daily Housekeeping, AC"
118,OYO 22737 Chandra Grand Hotel,"Near Reliance Fresh, Nacharam, Hyderabad",1602.0,3.7 ,"Parking Facility, Reception, Free Wifi"
119,OYO 40852 Hotel White Ridge,"Near Dilsukhnagar Metro Station, Hyderabad",1642.0,4.5 ,"Parking Facility, Reception, Free Wifi"
120,OYO 11079 Hotel Prestige,"Near Sun Shine Hospital, Paradise Road, Hyderabad",1696.0,4.5 ,"Parking Facility, Elevator, Free Wifi"
121,OYO 48723 Shanthaa Residency Lodge,"Near Vajrala complex, Kothapet., Hyderabad",1700.0,4.2 ,"Parking Facility, Reception, Free Wifi"
122,OYO 1410 Country Club Begumpet,"Near Railway Station, Begumpet, Hyderabad",1731.0,3.7 ,"Parking Facility, Study Table with Lamp, Power backup"
123,Capital O 29894 Royal Emirates,"Near Apollo Hospital, Jubilee Hill, Hyderabad",1780.0,3.9 ,"Reception, Power backup, 24/7 Checkin"
124,OYO 897 Hotel Surabhi Elite,"Near White House, Kothapet, Hyderabad",1921.0,4.0 ,"Parking Facility, Center Table, Free Wifi"
125,CAPITAL O75039 Hotel Quality Inn ,"Hyderabad , Hyderabad",2164.0,4.5 ,"Parking Facility, Reception, Free Wifi"
126,Capital O 71843 Grand Sindhura,"Near Karachi Bakery, Hyderabad",2164.0,4.4 ,"Center Table, Reception, Fan"
127,OYO 600 Hotel Skyhy,"Near Old MLA Quarters, Himayathnagar, Hyderabad",2407.0,4.0 ,"Parking Facility, Study Table with Lamp, Free Wifi"
128,OYO 72073 Imperial Guest House,"Near Yashoda Hospital, Somajiguda, Hyderabad",,,"Parking Facility, Reception, Free Wifi"
129,OYO 74320 Hotel Innova,"Near Nagarjuna Circle Road, Punjagutta, Hyderabad",,,"Private Entrance, Reception, Free Wifi"
130,OYO 14859 Akshara grand,"Near Doctor colony, Kothapet, Hyderabad",,,"Parking Facility, Center Table, Free Wifi"
